pubmed_id	title	year	train
10092127	Gains, Losses, and Amplifications of Genomic Materials in Primary Gastric Cancers Analyzed by Comparative Genomic Hybridization	1999	1
10213495	Mapping of Novel Regions of DNA Gain and Loss by Comparative Genomic Hybridization in Esophageal Carcinoma in the Black and Colored Populations of South Africa	1999	1
10666385	Chromosomal Imbalances in Barrett's Adenocarcinoma and the Metaplasia-Dysplasia-Carcinoma Sequence	2000	1
10767715	Identification of frequent chromosomal aberrations in ductal adenocarcinoma of the pancreas by comparative genomic hybridization (CGH)	2000	1
10879743	Identification of Genetic Markers for Prostatic Cancer Progression	2000	1
10914937	Complex chromosomal aberrations in chronic lymphocytic leukemia are associated with cellular drug and irradiation resistance	2000	1
10940769	Multiple Genomic Alterations Including N-myc Amplification in a Primary Large Cell Medulloblastoma	2000	1
10949927	Distinct chromosomal abnormality pattern in primary liver cancer of non-B, non-C patients	2000	1
11007434	Heterogeneous chromosomal aberrations in intraductal breast lesions adjacent to invasive carcinoma	2000	1
11060455	Detection of chromosomal imbalances in leiomyosarcoma by comparative genomic hybridization and interphase cytogenetics	2000	1
11107179	Correlation of Histologic Subtypes and Replication Error Phenotype With Comparative Genomic Hybridization in Gastric Cancer	2001	1
11153610	DNA ploidy and chromosomal imbalances in invasive ductal breast cancer. A comparative study of DNA image cytometry and comparative genomic hybridization (CGH)	2000	1
11169935	Comparative Genomic Hybridization Detects Genetic Imbalances in Primary Ovarian Carcinomas as Correlated with Grade of Differentiation	2001	1
11267980	COMPARATIVE GENOMIC HYBRIDIZATION (CGH) ANALYSIS OF STAGE 4 NEUROBLASTOMA REVEALS HIGH FREQUENCY OF 11Q DELETION IN TUMORS LACKING MYCN AMPLIFICATION	2001	1
11400146	New chromosomal regions with high-level amplifications in squamous cell carcinomas of the larynx and pharynx, identified by comparative genomic hybridization	2001	1
11431716	Atypical Endometrial Hyperplasia Shares Genomic Abnormalities With Endometrioid Carcinoma by Comparative Genomic Hybridization	2001	1
11455035	Amplification at 9p in cervical carcinoma by comparative genomic hybridization	2001	1
11572227	No DNA sequence copy number changes in essential thrombocythemia	2001	1
11679939	Chromosomal Aberrations in a Series of Large-Cell Neuroendocrine Carcinomas: Unexpected Divergence From Small-Cell Carcinoma of the Lung	2001	1
11697626	Causes and Consequences of BCL2 Overexpression in Diffuse Large B-Cell Lymphoma	2001	1
11746992	Comparative Genomic Hybridization Detects Genetic Alterations During Early Stages of Cervical Cancer Progression	2002	1
11793447	Unusual Case of Leukemic Mantle Cell Lymphoma With Amplified CCND1/IGH Fusion Gene	2002	1
11836583	Molecular genetic evaluation of fluorescence diagnosis in bladder cancer	2002	1
11916498	Comprehensive molecular cytogenetic investigation of chromosomal abnormalities in human medulloblastoma cell lines and 1 xenograft	2002	1
11921289	Genetic Analysis of Mediastinal Nonseminomatous Germ Cell Tumors in Children and Adolescents	2002	1
11978549	Chromosomal changes in betel-associated oral squamous cell carcinomas and their relationship to clinical parameters	2002	1
11990307	Genetic Alterations in Childhood Medulloblastoma Analyzed by Comparative Genomic Hybridization	2002	1
12001129	Malignant Placental Site Trophoblastic Tumor	2002	1
12377413	Analysis of kidney tumors by comparative genomic hybridization and conventional cytogenetics	2002	1
12397641	CHROMOSOMAL ALTERATIONS IN SMALL CELL LUNG CANCER REVEALED BY MULTICOLOUR FLUORESCENCE IN SITU HYBRIDIZATION	2002	1
12419589	A cluster of familial malignant mesothelioma with del(9p) as the sole chromosomal anomaly	2002	1
12439111	Analysis of the premalignant stages of Barrett's oesophagus through to adenocarcinoma by comparative genomic hybridization	2002	1
12533828	Barrett's adenocarcinomas resemble adenocarcinomas of the gastric cardia in terms of chromosomal copy number changes, but relate to squamous cell carcinomas of the distal oesophagus with respect to the presence of high-level amplifications	2003	1
12666986	Genetic evaluation of the dysplasia-carcinoma sequence in chronic viral liver disease: a detailed analysis of two cases and a review of the literature	2003	1
12729478	Anaplastic Thyroid Cancer: Cytogenetic Patterns by Comparative Genomic Hybridization	2003	1
12935929	Complex karyotypes in childhood acute lymphoblastic leukemia: cytogenetic and molecular cytogenetic study of 21 cases	2003	1
12960699	Comparative Genomic Hybridization Study of Paraffin-Embedded Dedifferentiated Liposarcoma Fixed With Holland Bouin's Fluid	2003	1
14553944	DNA gains at 8q23.2: a potential early marker in head and neck carcinomas	2003	1
14562281	Comparative Genomic Hybridization Analysis of Hepatoblastoma Reveals High Frequency of X-Chromosome Gains and Similarities Between Epithelial and Stromal Components	2003	1
14610349	Loss of 9p21 is embedded in a complex but consistent pattern of genomic imbalances in oral squamous cell carcinomas	2003	1
14730057	Automated array-based genomic profiling in chronic lymphocytic leukemia: Development of a clinical tool and discovery of recurrent genomic alterations	2004	1
14977426	Genome characteristics of primary carcinomas, local recurrences, carcinomatoses, and liver metastases from colorectal cancer patients	2004	1
15193028	CGH Pattern of Esthesioneuroblastoma and their Metastases	2004	1
15223644	High Incidence of Unbalanced Chromosomal Changes in Mantle Cell Lymphoma Detected by Comparative Genomic Hybridization	2004	1
15372456	Genome-wide profiling of oral squamous cell carcinoma	2004	1
15472895	Chromosomal Imbalances Detected by Array Comparative Genomic Hybridization in Human Oligodendrogliomas and Mixed Oligoastrocytomas	2005	1
